Zipcode,Median Age,Household Income,Per Capita Income,Employment rate,Has Starbucks
1550,37.5,42471,21579,0.494534377,N
1560,32.8,81667,35305,0.527256676,N
1561,22.7,19637,15914,0.695402299,N
1562,39.1,60197,28983,0.533026506,N
1564,44.2,98872,40536,0.540502615,N
1566,43.2,82750,37893,0.562641681,N
1568,41.2,105208,42387,0.554299556,N
1569,40.9,86164,35249,0.589719006,N
1570,41.4,47885,26411,0.535335478,N
1571,37.2,70590,28240,0.557623416,N
1581,40.4,100905,45929,0.544390616,N
1583,38.9,72107,30780,0.41309431,N
1585,45.7,62667,31262,0.556392596,N
1588,39.2,62649,29244,0.572173913,N
1590,41.7,110658,42341,0.553840993,N
1602,40,62832,31101,0.553296495,N
1603,36.1,48183,22315,0.526437968,N
1604,35.9,49797,27119,0.538824885,N
1605,32.3,37705,21639,0.469005462,N
1606,39.5,66912,32781,0.578917671,N
1607,34.4,45152,24044,0.559562353,N
1608,27.2,19418,11315,0.380550871,N
1609,26.9,40660,23846,0.498064029,N
1610,25.6,30532,14040,0.460857954,N
1611,39.3,67179,33179,0.6388553,N
1612,41.3,106708,35979,0.539538715,N
1701,43.6,86994,39361,0.569683474,N
1702,33.5,53944,29023,0.580194634,N
1718,38.9,132981,62059,0.559766764,N
1719,43.7,101502,61461,0.591719493,N
1720,41.9,109578,53152,0.537057421,N
1721,44,93233,45834,0.613268223,N
1730,43.9,108818,48886,0.521723203,N
1731,17.7,75446,22388,0.380896913,N
1740,43.1,146029,55369,0.562713912,N
1741,48.2,160034,77585,0.497559984,N
1742,45.9,135217,68920,0.431884214,N
1745,50.2,57250,40472,0.691803279,N
1746,42.4,110323,46206,0.536022011,N
1747,41.5,89408,38747,0.541329285,N
1748,39.5,129578,56899,0.506777552,N
1749,42.8,71971,35713,0.551990863,N
1752,39.5,70304,35335,0.603908141,N
1754,41.7,77622,39447,0.612770542,N
1756,43,105389,41740,0.559562468,N
1757,38.2,66547,32180,0.553978479,N
1760,41.6,95328,50239,0.576140077,N
1770,45.5,153444,73420,0.517869993,N
1772,42.1,150129,63375,0.545990318,N
1773,48.5,149539,75535,0.516335815,N
1775,42.2,115714,47880,0.547276236,N
1776,42.9,170924,72744,0.501506528,N
1778,46.7,130022,68811,0.516490964,N
1801,39.7,75138,35354,0.595441595,N
1803,41.8,94272,41119,0.574574899,N
1810,42.7,112681,52275,0.516772358,N
1821,40.4,87996,35975,0.585564382,N
1824,43.4,104538,44267,0.555506019,N
1826,40.3,78169,32690,0.580919648,N
1827,44.2,119022,48133,0.566513057,N
1830,39,55255,29567,0.542025149,N
1832,38.5,57833,29014,0.549703901,N
1833,42.4,107775,43297,0.544424352,N
1834,46.1,97463,40222,0.583520599,N
1835,37.1,72228,31429,0.590522658,N
1840,36.8,18261,14758,0.382230042,N
1841,29.6,31214,15117,0.457609699,N
1843,32.6,42891,21024,0.487295199,N
1844,39.9,67556,30520,0.540092263,N
1845,41,96002,46788,0.5404331,N
1850,32,51538,22503,0.550851833,N
1851,33.5,51630,22714,0.541942197,N
1852,35.6,48951,26878,0.540596871,N
1854,29.6,42947,19646,0.507309187,N
1860,43.5,79423,36605,0.582142857,N
1862,39,85497,30074,0.545942504,N
1863,40.5,81160,37573,0.551123242,N
1864,42.4,110852,45031,0.567988856,N
1867,41.8,105524,47036,0.553906377,N
1876,43.4,90897,39980,0.570539996,N
1879,42.1,90987,40920,0.594175589,N
1880,42.1,84556,40379,0.60292244,N
1886,42.4,124464,49341,0.538204649,N
1887,41.7,99508,37424,0.561484816,N
1890,42.5,131000,64385,0.490957865,N
1901,42.8,23467,20625,0.508650519,N
1902,32,37275,20391,0.502978116,N
1904,40.6,80903,33409,0.578046056,N
1905,32.4,42490,19934,0.513471503,N
1906,44.9,76339,34350,0.580902739,N
1907,44,92399,48336,0.561337498,N
1908,49.7,66964,45464,0.567890443,N
1913,41.3,78486,38659,0.609897133,N
1915,39.8,70563,37554,0.565157648,N
1921,45.6,125833,58734,0.550373134,N
1922,44.4,109301,40983,0.532561983,N
1923,43,79478,38281,0.576687803,N
1929,45.4,74211,42259,0.594190637,N
1930,47.1,61449,35928,0.542987983,N
1938,48.1,77087,43021,0.57870301,N
1940,44.4,106239,46227,0.558175461,N
1944,48.3,115650,70075,0.513018322,N
1945,44.7,98399,58082,0.527858503,N
1949,41.1,104245,39115,0.472127916,N
1950,46.3,78638,46124,0.552734931,N
1951,49.2,81106,42632,0.524143512,N
1952,46.2,72131,35656,0.610052406,N
1960,44.3,64430,34255,0.55269978,N
1966,52.1,66402,41762,0.508522727,N
1969,45.1,83237,38324,0.551234359,N
1970,36.9,55698,31407,0.585598965,N
1982,40,105865,44500,0.532082552,N
1983,45.4,111696,56488,0.529061343,N
1984,24.9,127606,46255,0.533843674,N
1985,43,111652,53144,0.537049942,N
2019,40.8,80179,36165,0.604392262,N
2021,42.8,89900,46086,0.544419448,N
2025,42,117829,61267,0.499180844,N
2026,43,84704,43063,0.535493455,N
2030,44.3,187829,89476,0.461159063,N
2032,42.9,77955,39531,0.562049434,N
2035,41.2,91601,42801,0.572042378,N
2038,37.8,99194,41946,0.552582335,N
2043,43.8,106854,60770,0.477742947,N
2045,49,75551,41064,0.586781665,N
2048,37.4,93539,42207,0.581118791,N
2050,43.5,91764,43165,0.578859126,N
2052,43.4,133931,62076,0.524472643,N
2053,42.1,106132,43335,0.567231463,N
2054,41.5,91341,39651,0.540754717,N
2056,42.5,134104,43630,0.439772929,N
2061,44.3,113944,48205,0.47907197,N
2062,41.2,75957,37213,0.555613632,N
2066,45.4,100833,49657,0.515059222,N
2067,43.2,125313,53259,0.548803365,N
2071,40.3,97813,25115,0.327118644,N
2072,43.1,74262,33094,0.580117724,N
2081,42.9,93416,44982,0.53604125,N
2090,45,128984,62949,0.504757374,N
2093,44.2,100574,45019,0.593416531,N
2108,34.6,96921,83723,0.676514032,N
2109,33.9,119196,90256,0.676727187,N
2110,50.9,111250,136352,0.631278539,N
2111,34.3,43551,51511,0.562861923,N
2113,28.6,66636,54464,0.778605875,N
2114,31.2,80500,67701,0.705269301,N
2115,21.8,27134,22112,0.517353429,N
2116,33,87653,80314,0.650392328,N
2118,33.6,54152,45343,0.577871058,N
2119,33.3,27180,19183,0.476884564,N
2120,23.4,35077,17704,0.563814078,N
2121,30.2,28238,17224,0.488059646,N
2122,32.9,50192,23904,0.559887558,N
2124,34.6,48841,22891,0.547370675,N
2125,30.2,45130,23350,0.553611144,N
2126,37.7,45238,20804,0.558890795,N
2127,30.8,68724,44737,0.665543237,N
2128,34,48704,23468,0.618427998,N
2129,34.6,86346,57847,0.624441389,N
2130,33.6,75730,44110,0.664073946,N
2131,38,66735,30984,0.579005168,N
2132,42.9,83360,44546,0.579556971,N
2134,26.8,37820,24946,0.666578989,N
2135,29.2,48687,31475,0.609606845,N
2136,36.2,58890,27408,0.569369,N
2138,29,75446,52592,0.556196209,N
2139,30.3,71745,42235,0.643148688,N
2140,35.3,71908,50856,0.63565294,N
2141,31.7,64326,39241,0.617933872,N
2142,29.3,100114,67525,0.538054968,N
2143,31.9,68440,36705,0.691894381,N
2144,30.7,78380,40831,0.685419636,N
2145,33,55487,29355,0.613893507,N
2148,35.7,53798,26648,0.596248684,N
2149,35.7,49368,23401,0.589623538,N
2150,31,47291,20617,0.531748661,N
2151,37.9,51863,26092,0.561141356,N
2152,43.4,64548,37720,0.592861566,N
2155,35,73567,34309,0.594115447,N
2163,25.7,43989,22511,0.336666667,N
2169,38.1,58669,32613,0.605059567,N
2170,39.3,66917,31165,0.59294807,N
2171,39.2,64812,36933,0.592275162,N
2176,41.3,85704,42361,0.58834759,N
2180,44.6,76127,38561,0.5827984,N
2184,40.7,81844,36351,0.562786053,N
2186,38.5,111071,46166,0.518159002,N
2188,41.8,68366,35954,0.566973729,N
2189,42.5,60059,31185,0.568348278,N
2190,41.2,77329,37124,0.579453774,N
2191,46,65365,34652,0.57665193,N
2199,46.8,109716,141896,0.593872742,N
2210,37,110333,94308,0.832101373,N
2215,21.6,35659,20651,0.5484657,N
2301,35.5,44144,21477,0.509867417,N
2302,35.7,61060,22728,0.542242835,N
2322,45.3,73194,33005,0.629090909,N
2324,36.2,87015,32991,0.533059873,N
2330,43.3,72161,30918,0.588706169,N
2332,45.5,118272,54596,0.491273304,N
2333,42.9,85912,35360,0.576291925,N
2338,44.4,67760,33177,0.572356215,N
2339,40.7,99250,41219,0.542026093,N
2341,41.3,92560,33337,0.589268293,N
2343,44.9,62292,33682,0.572325865,N
2346,41.2,77607,31719,0.552544414,N
2347,43,87900,35711,0.569272087,N
2351,38.7,78395,34567,0.568055469,N
2356,38.8,100429,40982,0.562059406,N
2359,40.4,86887,36916,0.584840366,N
2360,42.7,76565,35456,0.554597297,N
2364,42.8,82661,37330,0.55693206,N
2367,44.9,93563,38629,0.543754411,N
2368,40.6,62152,28092,0.568979121,N
2370,40.3,66329,30051,0.573065086,N
2375,40.3,86689,38628,0.57388386,N
2379,42.4,80347,32725,0.544601617,N
2382,39.1,72462,32541,0.597789524,N
2420,46.8,147924,69777,0.492716549,N
2421,44.8,136250,70103,0.487958233,N
2445,35.5,102087,68108,0.562224141,N
2446,33.5,78814,60512,0.577928364,N
2451,39.5,81334,45644,0.62385109,N
