,0,1,Zipcode,Another_Store_Present
12174,0.575,0.425,45327,0
3456,0.58,0.42,13637,0
19327,0.58,0.42,66085,0
2683,0.58,0.42,11569,0
22670,0.58,0.42,77389,0
6137,0.58,0.42,23603,0
469,0.58,0.42,2131,0
1829,0.58,0.42,6605,0
15054,0.58,0.42,54119,0
13179,0.58,0.42,48317,0
2723,0.58,0.42,11778,0
2277,0.585,0.415,8086,0
380,0.585,0.415,1851,0
10604,0.585,0.415,39212,0
12519,0.585,0.415,46346,0
23369,0.585,0.415,79758,0
16988,0.585,0.415,59077,0
17518,0.585,0.415,61088,0
26429,0.585,0.415,99559,0
9333,0.585,0.415,35117,0
890,0.59,0.41,3770,0
5746,0.59,0.41,21710,0
20414,0.59,0.41,69218,0
1470,0.59,0.41,5360,0
25706,0.59,0.41,96142,0
385,0.59,0.41,1863,0
936,0.59,0.41,3851,0
2866,0.59,0.41,12170,0
1536,0.59,0.41,5663,0
5719,0.59,0.41,21651,0
4828,0.595,0.405,17316,0
7259,0.595,0.405,27505,0
24219,0.595,0.405,84533,0
16853,0.595,0.405,58704,0
1834,0.595,0.405,6611,0
5860,0.595,0.405,22480,0
1035,0.595,0.405,4096,0
1837,0.595,0.405,6615,0
2375,0.595,0.405,8534,0
683,0.595,0.405,2864,0
18142,0.6,0.4,62536,0
1729,0.6,0.4,6281,0
3460,0.6,0.4,13641,0
23335,0.6,0.4,79561,0
23119,0.6,0.4,78879,0
2405,0.6,0.4,8720,0
15798,0.6,0.4,56075,0
23158,0.6,0.4,79014,0
25233,0.6,0.4,93656,0
1822,0.6,0.4,6516,0
19912,0.6,0.4,68003,0
11499,0.605,0.395,43116,0
382,0.605,0.395,1854,0
6732,0.605,0.395,25404,0
19897,0.605,0.395,67870,0
19655,0.605,0.395,67211,0
6736,0.605,0.395,25414,0
24270,0.605,0.395,84712,0
21181,0.605,0.395,72428,0
15744,0.605,0.395,56003,0
11249,0.605,0.395,42040,0
17415,0.605,0.395,60917,0
17106,0.605,0.395,59471,0
23202,0.605,0.395,79087,0
22037,0.605,0.395,75135,0
9040,0.605,0.395,33594,0
17258,0.605,0.395,59931,0
656,0.605,0.395,2815,0
2706,0.605,0.395,11730,0
23863,0.61,0.39,83111,0
14049,0.61,0.39,50264,0
20310,0.61,0.39,68945,0
25331,0.61,0.39,95033,0
5039,0.61,0.39,18035,0
23713,0.61,0.39,81426,0
15941,0.61,0.39,56282,0
23550,0.61,0.39,80759,0
12563,0.61,0.39,46540,0
8746,0.61,0.39,32310,0
19564,0.61,0.39,67016,0
14499,0.61,0.39,52050,0
1475,0.61,0.39,5403,0
25442,0.61,0.39,95466,0
18229,0.61,0.39,62712,0
20425,0.61,0.39,69341,0
26363,0.615,0.385,99152,0
5975,0.615,0.385,22940,0
11964,0.615,0.385,44632,0
